Account Tier,Rank,Company name,Company domain name,LinkedIn Company Page,Country/Region,City,Number of Employees,Annual Revenue (est.),Industry/Category,Market,Enrichment needed
Top 50,1,Apparel Group,apparelgroup.com,https://www.linkedin.com/company/apparel-fzco,United Arab Emirates,Dubai,10K-50K,2B,,GCC,category
Top 50,2,Panda Retail Company – Savola Group,panda.com.sa,https://www.linkedin.com/company/azizia-panda-united-savola-group,Saudi Arabia,Jiddah,10K-50K,$500M-$1B,B2C,GCC,
Top 50,3,Chalhoub Group,chalhoub.com,https://www.linkedin.com/company/chalhoub-group,United Arab Emirates,Dubai,5K-10K,$1B+,Retail,GCC,
Top 50,4,Croma,croma.com,https://www.linkedin.com/company/infiniti-retail-limited-croma---a-tata-enterprise,India,Mumbai,5K-10K,$1B+,Consumer Electronics,India,
Top 50,5,Joyalukkas,joyalukkas.com,https://www.linkedin.com/company/joyalukkas,United Arab Emirates,Dubai,5K-10K,1.7B,,GCC,category
Top 50,6,Trent Ltd,trent-tata.com,https://www.linkedin.com/company/trent-ltd,India,Mumbai,5K-10K,$1B+,Apparel & Footwear,India,
Top 50,7,ABUISSA HOLDING,abuissa.com,https://www.linkedin.com/company/abuissa-holding,Qatar,,1K-5K,$250M-$500M,B2B,GCC,city
Top 50,8,Agthia Group PJSC,agthia.com,https://www.linkedin.com/company/agthiagroup,United Arab Emirates,Abu Dhabi,1K-5K,$250M-$500M,Beverages,GCC,
Top 50,9,Alyasra Fashion,alyasra.com,https://www.linkedin.com/company/al-yasra-fashion-company-kuwait,Kuwait,,1K-5K,,,GCC,"revenue, category, city"
Top 50,10,Armada Retail Concept,armadagroupco.com,https://www.linkedin.com/company/armada-retail-concept,Kuwait,,1K-5K,$100M-$250M,B2C,GCC,city
Top 50,11,Barista Coffee Company Limited,barista.co.in,https://www.linkedin.com/company/barista-coffee-company,India,,1K-5K,,,India,"revenue, category, city"
Top 50,12,Bloom,staybloom.com,https://www.linkedin.com/company/bloomhotelgroup,India,New Delhi,1K-5K,,,India,"revenue, category"
Top 50,13,Devyani International Limited,dil-rjcorp.com,https://www.linkedin.com/company/devyani-international-limited,India,Gurgaon,1K-5K,$10M-$25M,Restaurants,India,
Top 50,14,Easa Saleh Al Gurg Group,algurg.com,https://www.linkedin.com/company/easa-saleh-al-gurg-group-llc,United Arab Emirates,,1K-5K,$250M-$500M,Retail,GCC,city
Top 50,15,Enrich Salon,enrichsalon.com,https://www.linkedin.com/company/enrich-hair-&-skin-solutions-pvt--ltd-,India,Mumbai,1K-5K,$1B+,B2C,India,
Top 50,16,Iconic Fashion India,iconicindia.com,https://www.linkedin.com/company/iconic-fashion-india,India,Gurgaon,1K-5K,$10M-$25M,Apparel & Footwear,India,
Top 50,17,Kewal Kiran Clothing Limited,kewalkiran.com,https://www.linkedin.com/company/kkcl,India,,1K-5K,$100M-$250M,Apparel & Footwear,India,city
Top 50,18,Kout Food Group,koutfood.com,https://www.linkedin.com/company/kout-food-group,Kuwait,Kuwait City,1K-5K,,,GCC,"revenue, category"
Top 50,19,Liwa Trading Enterprises LLC,liwastores.com,https://www.linkedin.com/company/liwa-trading-enterprises,United Arab Emirates,,1K-5K,,,GCC,"revenue, category, city"
Top 50,20,Malabar Gold & Diamonds,malabargoldanddiamonds.com,https://www.linkedin.com/company/malabar-gold-diamonds,United Arab Emirates,Dubai,1K-5K,$1B+,B2C,GCC,
Top 50,21,Marks and Spencer Reliance India Pvt Ltd,marksandspencer.in,https://www.linkedin.com/company/marks-and-spencer-reliance-india-private-limited,India,Gurgaon,1K-5K,$100M-$250M,Apparel & Footwear,India,
Top 50,22,Nahdi Medical Co.,nahdi.sa,https://www.linkedin.com/company/al-nahdi-medical-co-,Saudi Arabia,Jiddah,1K-5K,$10B+,Medicine,GCC,
Top 50,23,Rivoli Group,rivoligroup.com,https://www.linkedin.com/company/rivoli-group,United Arab Emirates,Dubai,1K-5K,,,GCC,"revenue, category"
Top 50,24,Sharjah Coop,shjcoop.ae,https://www.linkedin.com/company/sharjah-cooperative-society,United Arab Emirates,Sharjah,1K-5K,$250M-$500M,B2C,GCC,
Top 50,25,Speciality Restaurants Pvt. Ltd,speciality.co.in,https://www.linkedin.com/company/speciality-restaurants,India,,1K-5K,$50M-$100M,Restaurants,India,city
Top 50,26,The Sultan Center,sultan-center.com,https://www.linkedin.com/company/sultan-center,Kuwait,Kuwait City,1K-5K,601.4M,,GCC,category
